Ticker,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,PrecoJusto,Desconto_%
PRIO3,Energy,Energia,4.495875,1.701749,0.45543,0.0,44180684800,54.49,Mid Caps,60,181.8,70.03
ABCB4,Financial Services,Serviços Financeiros,5.061567,0.9680642,0.15463,11.29,6549097984,27.13,Small Caps,85,80.4,66.26
SUZB3,Basic Materials,Materiais Básicos,5.3604436,1.6361533,0.35192,1.93,71693623296,58.0,Blue Chips,75,162.3,64.26
COGN3,Consumer Defensive,Consumo Defensivo,5.46875,0.5473026,0.10893,5.01,6984558592,3.5,Small Caps,65,9.6,63.54
CYRE3,Consumer Cyclical,Consumo Cíclico,6.0932536,1.078187,0.20085,12.37,11250511872,30.71,Mid Caps,100,75.6,59.38
PETR4,Energy,Energia,7.0992785,1.1985738,0.19022,11.79,528499081216,39.33,Blue Chips,100,83.1,52.67
BBSE3,Financial Services,Serviços Financeiros,7.4580646,6.4834547,0.89815,15.03,67321331712,34.68,Blue Chips,75,69.75,50.28
PETR3,Energy,Energia,7.7129965,1.3021882,0.19022,10.85,550735511552,42.73,Blue Chips,100,83.1,48.58
ALUP11,Utilities,Utilidades Públicas,8.5549965,1.3075486,0.14232999,2.69,16264914944,35.7,Mid Caps,80,62.59,42.96
BRAP4,Financial Services,Serviços Financeiros,9.196296,1.0697975,0.12597,14.04,9760588800,24.83,Small Caps,65,40.5,38.69
UGPA3,Energy,Energia,9.591078,1.6820967,0.18759,6.78,27574042624,25.8,Mid Caps,75,40.35,36.06
BBDC4,Financial Services,Serviços Financeiros,9.929577,1.2538534,0.13754,1.08,223703793664,21.15,Blue Chips,80,31.95,33.8
ITSA4,Industrials,Indústria,10.34058,1.7311659,0.17063,0.68,159985926144,14.27,Blue Chips,50,20.7,31.06
CPFE3,Utilities,Utilidades Públicas,10.622363,2.5590851,0.25479,5.55,58016010240,50.35,Blue Chips,50,71.1,29.18
BBAS3,Financial Services,Serviços Financeiros,11.229167,0.8310976,0.08884,1.04,153840795648,26.95,Blue Chips,55,36.0,25.14
LREN3,Consumer Cyclical,Consumo Cíclico,11.626865,1.5171876,0.13555999,5.85,15302664192,15.58,Mid Caps,30,20.1,22.49
CMIN3,Basic Materials,Materiais Básicos,12.088889,2.9263046,0.25948998,9.61,29550321664,5.44,Mid Caps,50,6.75,19.41
EGIE3,Utilities,Utilidades Públicas,12.6616535,3.0157592,0.2182,4.64,38475067392,33.68,Mid Caps,50,39.9,15.59
IRBR3,Financial Services,Serviços Financeiros,12.949791,0.95099103,0.10587,0.0,5052456960,61.9,Small Caps,25,71.7,13.67
GGBR4,Basic Materials,Materiais Básicos,14.087248,0.7736823,0.025339998,1.91,41459609600,20.99,Mid Caps,55,22.35,6.09
CAML3,Consumer Defensive,Consumo Defensivo,14.956522,0.6805144,0.04689,11.08,2346570240,6.88,Small Caps,40,6.9,0.29
FLRY3,Healthcare,Saúde,15.290909,1.6991615,0.10616,11.23,9167160320,16.82,Small Caps,15,16.5,-1.94
MULT3,Real Estate,Imobiliário,15.304349,2.7344053,0.19108,3.48,17244198912,35.2,Mid Caps,50,34.5,-2.03
ABEV3,Consumer Defensive,Consumo Defensivo,17.494623,2.8898757,0.16976999,14.67,254080876544,16.27,Blue Chips,50,13.95,-16.63
B3SA3,Financial Services,Serviços Financeiros,19.45652,4.642116,0.24938999,3.31,89729179648,17.9,Blue Chips,50,13.8,-29.71
MGLU3,Consumer Cyclical,Consumo Cíclico,19.479168,0.64894503,0.033099998,3.11,7605278720,9.35,Small Caps,40,7.2,-29.86
VIVT3,Communication Services,Comunicação,22.60733,2.0079052,0.08901,2.57,137986277376,43.18,Blue Chips,30,28.65,-50.72
GOAU4,Basic Materials,Materiais Básicos,25.944445,0.6468144,0.025220001,2.14,12373625856,9.34,Mid Caps,55,5.4,-72.96
TOTS3,Technology,Tecnologia,26.83688,4.355433,0.16139999,1.61,22236628992,37.84,Mid Caps,50,21.15,-78.91
RENT3,Industrials,Indústria,30.578312,2.1293733,0.06967,4.09,53525626880,50.76,Blue Chips,30,24.9,-103.86
