Ticker,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,PrecoJusto,Desconto_%
PRIO3,Energy,Energia,4.727498,1.787945,0.45543,0.0,46418501632,57.25,Mid Caps,60,181.65,68.48
ABCB4,Financial Services,Serviços Financeiros,4.93271,0.9416592,0.15463,11.37,6370464256,26.39,Small Caps,85,80.25,67.12
COGN3,Consumer Defensive,Consumo Defensivo,5.171875,0.51759183,0.10893,5.07,6605396992,3.31,Small Caps,65,9.6,65.52
SUZB3,Basic Materials,Materiais Básicos,5.257856,1.6048406,0.35192,1.92,70321553408,56.89,Blue Chips,75,162.3,64.95
CYRE3,Consumer Cyclical,Consumo Cíclico,5.732143,1.0142893,0.20085,12.39,10583759872,28.89,Mid Caps,100,75.6,61.79
BBSE3,Financial Services,Serviços Financeiros,7.3204303,6.3638067,0.89815,15.0,66078953472,34.04,Blue Chips,75,69.75,51.2
PETR4,Energy,Energia,7.469314,1.2610471,0.19022,11.28,556046090240,41.38,Blue Chips,100,83.1,50.2
ALUP11,Utilities,Utilidades Públicas,8.116463,1.240523,0.14232999,2.74,15431165952,33.87,Mid Caps,80,62.59,45.89
PETR3,Energy,Energia,8.119134,1.3707564,0.19022,10.37,579735191552,44.98,Blue Chips,100,83.1,45.87
BRAP4,Financial Services,Serviços Financeiros,8.688889,1.0107713,0.12597,14.04,9222045696,23.46,Small Caps,65,40.5,42.07
UGPA3,Energy,Energia,9.335821,1.6312426,0.18759,6.75,26740410368,25.02,Mid Caps,75,40.2,37.76
BBDC4,Financial Services,Serviços Financeiros,9.483568,1.1975338,0.13754,1.07,213655650304,20.2,Blue Chips,80,31.95,36.78
ITSA4,Industrials,Indústria,9.782609,1.6377532,0.17063,0.69,151353180160,13.5,Blue Chips,75,20.7,34.78
CPFE3,Utilities,Utilidades Públicas,9.909284,2.3872936,0.25479,5.65,54121394176,46.97,Blue Chips,75,71.1,33.94
BBAS3,Financial Services,Serviços Financeiros,10.7125,0.7928578,0.08884,1.04,146762399744,25.71,Blue Chips,55,36.0,28.58
LREN3,Consumer Cyclical,Consumo Cíclico,10.955224,1.4295453,0.13555999,5.87,14418684928,14.68,Mid Caps,55,20.1,26.97
CMIN3,Basic Materials,Materiais Básicos,11.6888895,2.8294785,0.25948998,9.57,28572555264,5.26,Mid Caps,50,6.75,22.07
EGIE3,Utilities,Utilidades Públicas,12.033961,2.8554797,0.2182,4.69,36430221312,31.92,Mid Caps,50,39.79,19.78
IRBR3,Financial Services,Serviços Financeiros,12.085773,0.8875404,0.10587,0.0,4715354112,57.77,Small Caps,25,71.7,19.43
GGBR4,Basic Materials,Materiais Básicos,13.228188,0.726502,0.025339998,1.92,38931345408,19.71,Mid Caps,55,22.35,11.81
MULT3,Real Estate,Imobiliário,14.230434,2.5425308,0.19108,3.59,16034165760,32.73,Mid Caps,50,34.5,5.13
CAML3,Consumer Defensive,Consumo Defensivo,14.347826,0.652819,0.04689,5.97,2251070208,6.6,Small Caps,40,6.9,4.35
FLRY3,Healthcare,Saúde,15.1,1.6779473,0.10616,11.18,9052707840,16.61,Small Caps,15,16.5,-0.67
ABEV3,Consumer Defensive,Consumo Defensivo,16.60215,2.742451,0.16976999,15.0,241119150080,15.44,Blue Chips,50,13.95,-10.68
MGLU3,Consumer Cyclical,Consumo Cíclico,18.166668,0.60521936,0.033099998,3.16,7092837376,8.72,Small Caps,40,7.2,-21.11
B3SA3,Financial Services,Serviços Financeiros,18.891304,5.0173206,0.25591,3.21,87122518016,17.38,Blue Chips,50,13.8,-25.94
VIVT3,Communication Services,Comunicação,21.654451,1.9232738,0.08901,2.63,132170276864,41.36,Blue Chips,30,28.65,-44.36
GOAU4,Basic Materials,Materiais Básicos,24.472223,0.6101109,0.025220001,2.16,11671483392,8.81,Mid Caps,55,5.4,-63.15
TOTS3,Technology,Tecnologia,25.48936,4.13674,0.16139999,1.63,21120096256,35.94,Mid Caps,50,21.15,-69.93
RENT3,Industrials,Indústria,28.886229,2.0686994,0.07211,3.99,50868330496,48.24,Blue Chips,30,25.05,-92.57
VALE3,Basic Materials,Materiais Básicos,29.794325,1.9460785,0.05867,7.82,358662897664,84.02,Blue Chips,30,42.3,-98.63
RADL3,Healthcare,Saúde,30.037973,5.9280543,0.20379,1.56,41467510784,23.73,Mid Caps,50,11.85,-100.25
KLBN11,Basic Materials,Materiais Básicos,30.1059,3.0963123,0.14569001,7.94,141410615296,19.9,Blue Chips,30,9.92,-100.6
WEGE3,Industrials,Indústria,30.727274,11.399663,0.32514998,3.35,198541066240,47.32,Blue Chips,50,23.1,-104.85
ENGI11,Utilities,Utilidades Públicas,37.47826,1.0699435,0.19867,6.11,23642787840,51.72,Mid Caps,75,20.7,-149.86
TAEE11,Utilities,Utilidades Públicas,37.81982,1.8915874,0.23587999,7.41,14462064640,41.98,Mid Caps,50,16.65,-152.13
DXCO3,Basic Materials,Materiais Básicos,42.666668,0.68909824,0.01949,0.9,4647185408,5.12,Small Caps,40,1.8,-184.44
BPAC11,Financial Services,Serviços Financeiros,92.78501,3.9184265,0.23868,2.28,190399184896,56.97,Blue Chips,50,9.21,-518.57
ENEV3,Utilities,Utilidades Públicas,145.64285,1.9675769,0.0293,0.0,39063248896,20.39,Mid Caps,15,2.1,-870.95
AERI3,Industrials,Indústria,0.0,-0.8104922,-3.00452,0.0,168815424,2.75,Small Caps,0,0.0,-inf
AMER3,Consumer Cyclical,Consumo Cíclico,0.0,0.21939465,-0.15055999,0.0,1039271168,5.19,Small Caps,25,0.0,-inf
ADMF3,Financial Services,Serviços Financeiros,0.0,0.0,0.0,0.0,72901200,12.5,Small Caps,0,0.0,-inf
AALR3,Healthcare,Saúde,0.0,0.70245576,-0.06186,0.0,749423616,4.92,Small Caps,25,0.0,-inf
AGRO3,Consumer Defensive,Consumo Defensivo,0.0,1.021044,-0.00074,3.52,2121809152,21.3,Small Caps,40,0.0,-inf
BRKM5,Basic Materials,Materiais Básicos,0.0,-2.086623,0.0,0.0,7371957760,9.25,Small Caps,0,0.0,-inf
BEEF3,Consumer Defensive,Consumo Defensivo,0.0,3.768116,-0.50405,12.91,4876783616,4.94,Small Caps,15,0.0,-inf
CSAN3,Energy,Energia,0.0,1.8462508,-0.29677,0.0,22894125056,5.86,Mid Caps,15,0.0,-inf
HAPV3,Financial Services,Serviços Financeiros,0.0,0.10095767,-0.0063899998,0.0,4709280768,9.92,Small Caps,25,0.0,-inf
MRVE3,Real Estate,Imobiliário,0.0,1.0201026,-0.19694,0.0,5369353728,9.54,Small Caps,25,0.0,-inf
PCAR3,Consumer Cyclical,Consumo Cíclico,0.0,0.6331471,-0.25471002,0.0,1334533376,2.72,Small Caps,25,0.0,-inf
RAIZ4,Utilities,Utilidades Públicas,0.0,-4.155844,-2.31277,0.0,6619593728,0.64,Small Caps,0,0.0,-inf
USIM5,Basic Materials,Materiais Básicos,0.0,0.38914186,-0.115509994,0.0,8099602944,6.58,Small Caps,25,0.0,-inf
