Ticker,Empresa,setor_original,Setor,PL,PVP,ROE,DivYield,MarketCap,Preco,Categoria,Score,PrecoJusto,Desconto_%,Ranking,Risco,Farol
BAZA3,AMAZONIA    ON,Financial Services,Serviços Financeiros,4.0649786,0.65486956,0.15239,0.0942,4769441542.84584,85.08000183105469,Small Caps,85,313.94999901495675,100.0,52.0,Baixo,🟢
CMIG3,CEMIG       ON      N1,Utilities,Utilidades Públicas,6.758772,1.534402,0.1416,0.10550000000000001,44083107380.52458,15.40999984741211,Mid Caps,55,34.1999993062618,100.0,34.0,Baixo,🟢
BNBR3,NORD BRASIL ON,Financial Services,Serviços Financeiros,4.266876,0.7757316,0.19412,0.0495,12040382291.654587,121.98999786376953,Mid Caps,85,428.85004578444347,100.0,52.0,Baixo,🟢
PETR4,PETROBRAS   PN  ATZ N2,Energy,Energia,5.324675,1.3980161,0.28176,0.1035,581281827854.4546,45.099998474121094,Blue Chips,100,127.0500034484389,100.0,58.0,Baixo,🟢
LAVV3,LAVVI       ON      NM,Real Estate,Imobiliário,6.788136,2.0296466,0.28968,0.1105,3130858424.522747,16.020000457763672,Small Caps,60,35.39999889018946,100.0,46.0,Baixo,🟢
BRAP3,BRADESPAR   ON      N1,Financial Services,Serviços Financeiros,7.2185183,0.8397243,0.12597,0.1605,8099221543.826366,19.489999771118164,Small Caps,65,40.50000075039949,100.0,40.0,Baixo,🟢
JHSF3,JHSF PART   ON  ED  NM,Real Estate,Imobiliário,4.6789474,0.9420367,0.20974001,0.09029999999999999,5944851305.314099,8.890000343322754,Small Caps,85,28.500000908290037,100.0,58.0,Baixo,🟢
ISAE4,ISA ENERGIA PN  EJ  N1,Utilities,Utilidades Públicas,7.4247313,0.8603825,0.12099,0.0931,18198357409.436874,27.6200008392334,Mid Caps,80,55.800000814642395,100.0,46.0,Baixo,🟢
BSLI3,BRB BANCO   ON,Financial Services,Serviços Financeiros,2.3366337,0.57589066,0.25134,0.12279999999999999,2339689179.0386553,4.71999979019165,Small Caps,85,30.29999817809473,100.0,58.0,Baixo,🟢
BBSE3,BBSEGURIDADEON      NM,Financial Services,Serviços Financeiros,7.354839,6.3937187,0.89815,0.15039999999999998,66389551368.82944,34.20000076293945,Blue Chips,75,69.7499988027055,100.0,52.0,Baixo,🟢
VTRU3,VITRUEDUCA  ON      NM,Consumer Defensive,Consumo Defensivo,5.9954123,0.61618966,0.18058,0.15,1746838513.242485,13.069999694824219,Small Caps,85,32.70000220374557,100.0,52.0,Baixo,🟢
PINE3,PINE        ON      N2,Financial Services,Serviços Financeiros,6.102564,2.1530666,0.33765998,0.0352,2820439401.387203,11.899999618530273,Small Caps,45,29.249999553950456,100.0,40.0,Baixo,🟢
POMO4,MARCOPOLO   PN      N2,Industrials,Indústria,6.1836734,1.911069,0.30973,0.1839,7517983982.692789,6.059999942779541,Small Caps,60,14.700000026148393,100.0,46.0,Baixo,🟢
SUZB3,SUZANO S.A. ON      NM,Basic Materials,Materiais Básicos,4.949168,1.5106208,0.35192,0.0203,66192985374.432945,53.54999923706055,Blue Chips,60,162.3000044766935,100.0,40.0,Baixo,🟢
SAPR4,SANEPAR     PN      N2,Utilities,Utilidades Públicas,6.0310082,0.19043423,0.17944999,0.0282,11757179254.883535,7.78000020980835,Mid Caps,85,19.349999084253483,100.0,46.0,Baixo,🟢
RECV3,PETRORECSA  ON      NM,Energy,Energia,6.009434,0.817925,0.13571,0.1493,3732536620.822712,12.739999771118164,Small Caps,65,31.799999229007668,100.0,40.0,Baixo,🟢
POMO3,MARCOPOLO   ON      N2,Industrials,Indústria,5.8061223,1.7943866,0.30973,0.19579999999999997,7058965296.307211,5.690000057220459,Small Caps,60,14.70000052501596,100.0,46.0,Baixo,🟢
SHUL4,SCHULZ      PN,Consumer Cyclical,Consumo Cíclico,7.342466,1.2321839,0.17659001,0.07690000000000001,1911130661.4451241,5.360000133514404,Small Caps,85,10.949999905034094,100.0,46.0,Baixo,🟢
PINE4,PINE        PN      N2,Financial Services,Serviços Financeiros,6.051282,2.1349738,0.33765998,0.0347,2818198517.7532797,11.800000190734863,Small Caps,45,29.250000720677527,100.0,40.0,Baixo,🟢
BRSR6,BANRISUL    PNB     N1,Financial Services,Serviços Financeiros,4.210024,0.629438,0.1567,0.058899999999999994,7214309524.661789,17.639999389648438,Small Caps,85,62.849995830125096,100.0,46.0,Baixo,🟢
